character_id,ability,synergy_tag,synergy_type,ability_text
Abomination,basic,Gamma,ally,"Transformed into a hideous monster by Gamma radiation, the Abomination uses his strength and spines to tear into enemies and shred their defenses."
AbsorbingMan,passive,Masters of Evil,ally,"Wrecking Ball  Copy and clear all negative effects from all MASTERS OF EVIL allies to self.
Flip all negative effects to positive effects on self.

Apply Offense Down for 2 turns to the primary target.
Attack primary and adjacent targets for 400% damage.

Clear Taunt from all allies.
Gain Taunt. In CRUCIBLE, gain Taunt for 2 turns instead. Level Required: 68  t4 confidence 34.3%"
AdamWarlock,basic,Guardian,ally,"Guardian of the Soul Stone, Adam Warlock prevents his Infinity Watch allies' positive effects from being cleared or flipped."
AdamWarlock,basic,Infinity Watch,ally,"Guardian of the Soul Stone, Adam Warlock prevents his Infinity Watch allies' positive effects from being cleared or flipped."
AdamWarlock,passive,Galactic Council,enemy,"Enfeebling Blast  Attack primary target for 500% damage + apply Ability Block for 2 turns.
Apply Ability Block to all enemy VILLAIN PROTECTORS for 2 turns.
Apply Disrupted to all enemy PROTECTORS for 2 turns.

Clear 1 Vulnerable and all Darkness from all GALACTIC COUNCIL allies.

This attack is Unavoidable. Level Required: 78  t4 confidence 55.6%"
AdamWarlock,passive,Villain,enemy,"Enfeebling Blast  Attack primary target for 500% damage + apply Ability Block for 2 turns.
Apply Ability Block to all enemy VILLAIN PROTECTORS for 2 turns.
Apply Disrupted to all enemy PROTECTORS for 2 turns.

Clear 1 Vulnerable and all Darkness from all GALACTIC COUNCIL allies.

This attack is Unavoidable. Level Required: 78  t4 confidence 55.6%"
AgathaHarkness,special,Darkhold,ally,"Assist/Counter Info Attack primary target for 210% Piercing.If the primary target is MYSTIC, deal 5% of the target's Max Health.Apply +1 Deflect, up to a maximum of 3, to self and all DARKHOLD allies."
AgathaHarkness,special,Mystic,enemy,"Assist/Counter Info Attack primary target for 210% Piercing.If the primary target is MYSTIC, deal 5% of the target's Max Health.Apply +1 Deflect, up to a maximum of 3, to self and all DARKHOLD allies."
AgathaHarkness,ultimate,Darkhold,ally,"Witchcraft  Attack primary target for 275% Piercing.
If the primary target is MYSTIC, deal 5% of the target's Max Health.

Apply +1 Deflect, up to a maximum of 3, to self and all DARKHOLD and NIGHTSTALKER allies.

Call 1 random adjacent DARKHOLD or NIGHTSTALKER ally to attack the primary target. Called ally attacks for -50% Damage.
In ARENA, call 2 random adjacent DARKHOLD allies to attack the primary target instead. Level Required: 65  t4 confidence 66.3%"
AgathaHarkness,ultimate,Mystic,enemy,"Witchcraft  Attack primary target for 275% Piercing.
If the primary target is MYSTIC, deal 5% of the target's Max Health.

Apply +1 Deflect, up to a maximum of 3, to self and all DARKHOLD and NIGHTSTALKER allies.

Call 1 random adjacent DARKHOLD or NIGHTSTALKER ally to attack the primary target. Called ally attacks for -50% Damage.
In ARENA, call 2 random adjacent DARKHOLD allies to attack the primary target instead. Level Required: 65  t4 confidence 66.3%"
